element,item,production,element,item,production,years,country_name
Feed,Starchy Roots,1026,Food,"Vegetables, Other",12011,1961,United States of America
Feed,Maize and products,81588,Food,Cereals - Excluding Beer,16415,1961,United States of America
Feed,Cereals - Excluding Beer,112227,Food,Vegetables,17713,1961,United States of America
Feed,Starchy Roots,885,Food,"Vegetables, Other",11839,1962,United States of America
Feed,Maize and products,80191,Food,Cereals - Excluding Beer,16166,1962,United States of America
Feed,Cereals - Excluding Beer,109130,Food,Vegetables,18628,1962,United States of America
Feed,Starchy Roots,835,Food,"Vegetables, Other",12003,1963,United States of America
Feed,Maize and products,76406,Food,Cereals - Excluding Beer,16372,1963,United States of America
Feed,Cereals - Excluding Beer,106356,Food,Vegetables,17584,1963,United States of America
Feed,Starchy Roots,616,Food,"Vegetables, Other",11488,1964,United States of America
Feed,Maize and products,75085,Food,Cereals - Excluding Beer,16704,1964,United States of America
Feed,Cereals - Excluding Beer,104234,Food,Vegetables,17462,1964,United States of America
Feed,Starchy Roots,979,Food,"Vegetables, Other",12050,1965,United States of America
Feed,Maize and products,85373,Food,Cereals - Excluding Beer,16851,1965,United States of America
Feed,Cereals - Excluding Beer,119378,Food,Vegetables,18097,1965,United States of America
Feed,Starchy Roots,594,Food,"Vegetables, Other",12162,1966,United States of America
Feed,Maize and products,84662,Food,Cereals - Excluding Beer,16865,1966,United States of America
Feed,Cereals - Excluding Beer,118495,Food,Vegetables,18321,1966,United States of America
Feed,Starchy Roots,952,Food,"Vegetables, Other",12909,1967,United States of America
Feed,Maize and products,89488,Food,Cereals - Excluding Beer,17088,1967,United States of America
Feed,Cereals - Excluding Beer,118725,Food,Vegetables,19603,1967,United States of America
Feed,Starchy Roots,554,Food,"Vegetables, Other",13231,1968,United States of America
Feed,Maize and products,91621,Food,Cereals - Excluding Beer,16992,1968,United States of America
Feed,Cereals - Excluding Beer,127512,Food,Vegetables,21463,1968,United States of America
Feed,Starchy Roots,565,Food,"Vegetables, Other",12878,1969,United States of America
Feed,Maize and products,97133,Food,Cereals - Excluding Beer,17141,1969,United States of America
Feed,Cereals - Excluding Beer,134937,Food,Vegetables,19413,1969,United States of America
Feed,Starchy Roots,501,Food,"Vegetables, Other",13055,1970,United States of America
Feed,Maize and products,91240,Food,Cereals - Excluding Beer,16774,1970,United States of America
Feed,Cereals - Excluding Beer,131871,Food,Vegetables,19900,1970,United States of America
Feed,Starchy Roots,462,Food,"Vegetables, Other",13781,1971,United States of America
Feed,Maize and products,101528,Food,Cereals - Excluding Beer,16955,1971,United States of America
Feed,Cereals - Excluding Beer,143407,Food,Vegetables,20930,1971,United States of America
Feed,Starchy Roots,312,Food,"Vegetables, Other",13837,1972,United States of America
Feed,Maize and products,109326,Food,Cereals - Excluding Beer,16929,1972,United States of America
Feed,Cereals - Excluding Beer,147793,Food,Vegetables,21140,1972,United States of America
Feed,Starchy Roots,265,Food,"Vegetables, Other",13482,1973,United States of America
Feed,Maize and products,106252,Food,Cereals - Excluding Beer,17445,1973,United States of America
Feed,Cereals - Excluding Beer,142439,Food,Vegetables,21118,1973,United States of America
Feed,Starchy Roots,319,Food,"Vegetables, Other",13937,1974,United States of America
Feed,Maize and products,81055,Food,Cereals - Excluding Beer,17560,1974,United States of America
Feed,Cereals - Excluding Beer,105653,Food,Vegetables,22443,1974,United States of America
Feed,Starchy Roots,295,Food,"Vegetables, Other",13538,1975,United States of America
Feed,Maize and products,90984,Food,Cereals - Excluding Beer,18539,1975,United States of America
Feed,Cereals - Excluding Beer,117069,Food,Vegetables,23275,1975,United States of America
Feed,Starchy Roots,409,Food,"Vegetables, Other",14371,1976,United States of America
Feed,Maize and products,91492,Food,Cereals - Excluding Beer,19286,1976,United States of America
Feed,Cereals - Excluding Beer,115062,Food,Vegetables,22524,1976,United States of America
Feed,Starchy Roots,439,Food,"Vegetables, Other",14958,1977,United States of America
Feed,Maize and products,94738,Food,Cereals - Excluding Beer,19048,1977,United States of America
Feed,Cereals - Excluding Beer,122945,Food,Vegetables,24303,1977,United States of America
Feed,Starchy Roots,421,Food,"Vegetables, Other",16195,1978,United States of America
Feed,Maize and products,108574,Food,Cereals - Excluding Beer,18980,1978,United States of America
Feed,Cereals - Excluding Beer,139153,Food,Vegetables,24465,1978,United States of America
Feed,Starchy Roots,407,Food,"Vegetables, Other",16212,1979,United States of America
Feed,Maize and products,115905,Food,Cereals - Excluding Beer,19978,1979,United States of America
Feed,Cereals - Excluding Beer,142668,Food,Vegetables,25384,1979,United States of America
Feed,Starchy Roots,262,Food,"Vegetables, Other",15560,1980,United States of America
Feed,Maize and products,107496,Food,Cereals - Excluding Beer,19970,1980,United States of America
Feed,Cereals - Excluding Beer,127548,Food,Vegetables,23535,1980,United States of America
Feed,Starchy Roots,246,Food,"Vegetables, Other",15954,1981,United States of America
Feed,Maize and products,107811,Food,Cereals - Excluding Beer,20355,1981,United States of America
Feed,Cereals - Excluding Beer,133341,Food,Vegetables,23610,1981,United States of America
Feed,Starchy Roots,417,Food,"Vegetables, Other",16635,1982,United States of America
Feed,Maize and products,116160,Food,Cereals - Excluding Beer,20857,1982,United States of America
Feed,Cereals - Excluding Beer,145971,Food,Vegetables,26416,1982,United States of America
Feed,Starchy Roots,247,Food,"Vegetables, Other",15219,1983,United States of America
Feed,Maize and products,98457,Food,Cereals - Excluding Beer,20708,1983,United States of America
Feed,Cereals - Excluding Beer,131693,Food,Vegetables,24703,1983,United States of America
Feed,Starchy Roots,288,Food,"Vegetables, Other",16511,1984,United States of America
Feed,Maize and products,104509,Food,Cereals - Excluding Beer,21395,1984,United States of America
Feed,Cereals - Excluding Beer,142685,Food,Vegetables,26816,1984,United States of America
Feed,Starchy Roots,523,Food,"Vegetables, Other",16907,1985,United States of America
Feed,Maize and products,104501,Food,Cereals - Excluding Beer,22472,1985,United States of America
Feed,Cereals - Excluding Beer,143216,Food,Vegetables,26981,1985,United States of America
Feed,Starchy Roots,252,Food,"Vegetables, Other",16206,1986,United States of America
Feed,Maize and products,118350,Food,Cereals - Excluding Beer,23464,1986,United States of America
Feed,Cereals - Excluding Beer,155490,Food,Vegetables,26504,1986,United States of America
Feed,Starchy Roots,240,Food,"Vegetables, Other",17447,1987,United States of America
Feed,Maize and products,121647,Food,Cereals - Excluding Beer,24949,1987,United States of America
Feed,Cereals - Excluding Beer,154817,Food,Vegetables,27967,1987,United States of America
Feed,Starchy Roots,284,Food,"Vegetables, Other",15941,1988,United States of America
Feed,Maize and products,99921,Food,Cereals - Excluding Beer,25690,1988,United States of America
Feed,Cereals - Excluding Beer,122878,Food,Vegetables,26428,1988,United States of America
Feed,Starchy Roots,766,Food,"Vegetables, Other",17579,1989,United States of America
Feed,Maize and products,111315,Food,Cereals - Excluding Beer,26115,1989,United States of America
Feed,Cereals - Excluding Beer,136659,Food,Vegetables,30072,1989,United States of America
Feed,Starchy Roots,772,Food,"Vegetables, Other",16725,1990,United States of America
Feed,Maize and products,117066,Food,Cereals - Excluding Beer,27686,1990,United States of America
Feed,Cereals - Excluding Beer,149639,Food,Vegetables,29710,1990,United States of America
Feed,Starchy Roots,627,Food,"Vegetables, Other",16227,1991,United States of America
Feed,Maize and products,121867,Food,Cereals - Excluding Beer,28292,1991,United States of America
Feed,Cereals - Excluding Beer,146691,Food,Vegetables,29521,1991,United States of America
Feed,Starchy Roots,932,Food,"Vegetables, Other",17815,1992,United States of America
Feed,Maize and products,133403,Food,Cereals - Excluding Beer,29170,1992,United States of America
Feed,Cereals - Excluding Beer,158809,Food,Vegetables,29272,1992,United States of America
Feed,Starchy Roots,253,Food,"Vegetables, Other",17135,1993,United States of America
Feed,Maize and products,118868,Food,Vegetables,29704,1993,United States of America
Feed,Cereals - Excluding Beer,146168,Food,Cereals - Excluding Beer,30182,1993,United States of America
