"element","item","country_name","production","years"
"Feed","Starchy Roots","United States of America",1026,1961
"Feed","Maize and products","United States of America",81588,1961
"Feed","Cereals - Excluding Beer","United States of America",112227,1961
"Feed","Starchy Roots","United States of America",885,1962
"Feed","Maize and products","United States of America",80191,1962
"Feed","Cereals - Excluding Beer","United States of America",109130,1962
"Feed","Starchy Roots","United States of America",835,1963
"Feed","Maize and products","United States of America",76406,1963
"Feed","Cereals - Excluding Beer","United States of America",106356,1963
"Feed","Starchy Roots","United States of America",616,1964
"Feed","Maize and products","United States of America",75085,1964
"Feed","Cereals - Excluding Beer","United States of America",104234,1964
"Feed","Starchy Roots","United States of America",979,1965
"Feed","Maize and products","United States of America",85373,1965
"Feed","Cereals - Excluding Beer","United States of America",119378,1965
"Feed","Starchy Roots","United States of America",594,1966
"Feed","Maize and products","United States of America",84662,1966
"Feed","Cereals - Excluding Beer","United States of America",118495,1966
"Feed","Starchy Roots","United States of America",952,1967
"Feed","Maize and products","United States of America",89488,1967
"Feed","Cereals - Excluding Beer","United States of America",118725,1967
"Feed","Starchy Roots","United States of America",554,1968
"Feed","Maize and products","United States of America",91621,1968
"Feed","Cereals - Excluding Beer","United States of America",127512,1968
"Feed","Starchy Roots","United States of America",565,1969
"Feed","Maize and products","United States of America",97133,1969
"Feed","Cereals - Excluding Beer","United States of America",134937,1969
"Feed","Starchy Roots","United States of America",501,1970
"Feed","Maize and products","United States of America",91240,1970
"Feed","Cereals - Excluding Beer","United States of America",131871,1970
"Feed","Starchy Roots","United States of America",462,1971
"Feed","Maize and products","United States of America",101528,1971
"Feed","Cereals - Excluding Beer","United States of America",143407,1971
"Feed","Starchy Roots","United States of America",312,1972
"Feed","Maize and products","United States of America",109326,1972
"Feed","Cereals - Excluding Beer","United States of America",147793,1972
"Feed","Starchy Roots","United States of America",265,1973
"Feed","Maize and products","United States of America",106252,1973
"Feed","Cereals - Excluding Beer","United States of America",142439,1973
"Feed","Starchy Roots","United States of America",319,1974
"Feed","Maize and products","United States of America",81055,1974
"Feed","Cereals - Excluding Beer","United States of America",105653,1974
"Feed","Starchy Roots","United States of America",295,1975
"Feed","Maize and products","United States of America",90984,1975
"Feed","Cereals - Excluding Beer","United States of America",117069,1975
"Feed","Starchy Roots","United States of America",409,1976
"Feed","Maize and products","United States of America",91492,1976
"Feed","Cereals - Excluding Beer","United States of America",115062,1976
"Feed","Starchy Roots","United States of America",439,1977
"Feed","Maize and products","United States of America",94738,1977
"Feed","Cereals - Excluding Beer","United States of America",122945,1977
"Feed","Starchy Roots","United States of America",421,1978
"Feed","Maize and products","United States of America",108574,1978
"Feed","Cereals - Excluding Beer","United States of America",139153,1978
"Feed","Starchy Roots","United States of America",407,1979
"Feed","Maize and products","United States of America",115905,1979
"Feed","Cereals - Excluding Beer","United States of America",142668,1979
"Feed","Starchy Roots","United States of America",262,1980
"Feed","Maize and products","United States of America",107496,1980
"Feed","Cereals - Excluding Beer","United States of America",127548,1980
"Feed","Starchy Roots","United States of America",246,1981
"Feed","Maize and products","United States of America",107811,1981
"Feed","Cereals - Excluding Beer","United States of America",133341,1981
"Feed","Starchy Roots","United States of America",417,1982
"Feed","Maize and products","United States of America",116160,1982
"Feed","Cereals - Excluding Beer","United States of America",145971,1982
"Feed","Starchy Roots","United States of America",247,1983
"Feed","Maize and products","United States of America",98457,1983
"Feed","Cereals - Excluding Beer","United States of America",131693,1983
"Feed","Starchy Roots","United States of America",288,1984
"Feed","Maize and products","United States of America",104509,1984
"Feed","Cereals - Excluding Beer","United States of America",142685,1984
"Feed","Starchy Roots","United States of America",523,1985
"Feed","Maize and products","United States of America",104501,1985
"Feed","Cereals - Excluding Beer","United States of America",143216,1985
"Feed","Starchy Roots","United States of America",252,1986
"Feed","Maize and products","United States of America",118350,1986
"Feed","Cereals - Excluding Beer","United States of America",155490,1986
"Feed","Starchy Roots","United States of America",240,1987
"Feed","Maize and products","United States of America",121647,1987
"Feed","Cereals - Excluding Beer","United States of America",154817,1987
"Feed","Starchy Roots","United States of America",284,1988
"Feed","Maize and products","United States of America",99921,1988
"Feed","Cereals - Excluding Beer","United States of America",122878,1988
"Feed","Starchy Roots","United States of America",766,1989
"Feed","Maize and products","United States of America",111315,1989
"Feed","Cereals - Excluding Beer","United States of America",136659,1989
"Feed","Starchy Roots","United States of America",772,1990
"Feed","Maize and products","United States of America",117066,1990
"Feed","Cereals - Excluding Beer","United States of America",149639,1990
"Feed","Starchy Roots","United States of America",627,1991
"Feed","Maize and products","United States of America",121867,1991
"Feed","Cereals - Excluding Beer","United States of America",146691,1991
"Feed","Starchy Roots","United States of America",932,1992
"Feed","Maize and products","United States of America",133403,1992
"Feed","Cereals - Excluding Beer","United States of America",158809,1992
"Feed","Starchy Roots","United States of America",253,1993
"Feed","Maize and products","United States of America",118868,1993
"Feed","Cereals - Excluding Beer","United States of America",146168,1993
"Feed","Starchy Roots","United States of America",331,1994
"Feed","Maize and products","United States of America",138675,1994
"Feed","Cereals - Excluding Beer","United States of America",166992,1994
"Feed","Starchy Roots","United States of America",288,1995
"Feed","Maize and products","United States of America",119189,1995
"Feed","Cereals - Excluding Beer","United States of America",137938,1995
"Feed","Starchy Roots","United States of America",736,1996
"Feed","Maize and products","United States of America",134037,1996
"Feed","Cereals - Excluding Beer","United States of America",163081,1996
"Feed","Starchy Roots","United States of America",343,1997
"Feed","Maize and products","United States of America",138442,1997
"Feed","Cereals - Excluding Beer","United States of America",160712,1997
"Feed","Starchy Roots","United States of America",338,1998
"Feed","Maize and products","United States of America",138491,1998
"Feed","Cereals - Excluding Beer","United States of America",162450,1998
"Feed","Starchy Roots","United States of America",334,1999
"Feed","Maize and products","United States of America",143326,1999
"Feed","Cereals - Excluding Beer","United States of America",164573,1999
"Feed","Starchy Roots","United States of America",679,2000
"Feed","Maize and products","United States of America",147880,2000
"Feed","Cereals - Excluding Beer","United States of America",167643,2000
"Feed","Starchy Roots","United States of America",382,2001
"Feed","Maize and products","United States of America",148558,2001
"Feed","Cereals - Excluding Beer","United States of America",164286,2001
"Feed","Starchy Roots","United States of America",379,2002
"Feed","Maize and products","United States of America",140927,2002
"Feed","Cereals - Excluding Beer","United States of America",152591,2002
"Feed","Starchy Roots","United States of America",356,2003
"Feed","Maize and products","United States of America",146844,2003
"Feed","Cereals - Excluding Beer","United States of America",161046,2003
"Feed","Starchy Roots","United States of America",351,2004
"Feed","Maize and products","United States of America",155831,2004
"Feed","Cereals - Excluding Beer","United States of America",170320,2004
"Feed","Starchy Roots","United States of America",373,2005
"Feed","Maize and products","United States of America",155323,2005
"Feed","Cereals - Excluding Beer","United States of America",166631,2005
"Feed","Starchy Roots","United States of America",354,2006
"Feed","Maize and products","United States of America",140719,2006
"Feed","Cereals - Excluding Beer","United States of America",150006,2006
"Feed","Starchy Roots","United States of America",334,2007
"Feed","Maize and products","United States of America",148787,2007
"Feed","Cereals - Excluding Beer","United States of America",156304,2007
"Feed","Starchy Roots","United States of America",293,2008
"Feed","Maize and products","United States of America",131619,2008
"Feed","Cereals - Excluding Beer","United States of America",146098,2008
"Feed","Starchy Roots","United States of America",350,2009
"Feed","Maize and products","United States of America",130193,2009
"Feed","Cereals - Excluding Beer","United States of America",141625,2009
"Feed","Starchy Roots","United States of America",371,2010
"Feed","Maize and products","United States of America",121902,2010
"Feed","Cereals - Excluding Beer","United States of America",131633,2010
"Feed","Starchy Roots","United States of America",363,2011
"Feed","Maize and products","United States of America",115739,2011
"Feed","Cereals - Excluding Beer","United States of America",124808,2011
"Feed","Starchy Roots","United States of America",485,2012
"Feed","Maize and products","United States of America",109607,2012
"Feed","Cereals - Excluding Beer","United States of America",125012,2012
"Feed","Starchy Roots","United States of America",471,2013
"Feed","Maize and products","United States of America",128024,2013
"Feed","Cereals - Excluding Beer","United States of America",140096,2013
"Food","Vegetables, Other","United States of America",12011,1961
"Food","Cereals - Excluding Beer","United States of America",16415,1961
"Food","Vegetables","United States of America",17713,1961
"Food","Vegetables, Other","United States of America",11839,1962
"Food","Cereals - Excluding Beer","United States of America",16166,1962
"Food","Vegetables","United States of America",18628,1962
"Food","Vegetables, Other","United States of America",12003,1963
"Food","Cereals - Excluding Beer","United States of America",16372,1963
"Food","Vegetables","United States of America",17584,1963
"Food","Vegetables, Other","United States of America",11488,1964
"Food","Cereals - Excluding Beer","United States of America",16704,1964
"Food","Vegetables","United States of America",17462,1964
"Food","Vegetables, Other","United States of America",12050,1965
"Food","Cereals - Excluding Beer","United States of America",16851,1965
"Food","Vegetables","United States of America",18097,1965
"Food","Vegetables, Other","United States of America",12162,1966
"Food","Cereals - Excluding Beer","United States of America",16865,1966
"Food","Vegetables","United States of America",18321,1966
"Food","Vegetables, Other","United States of America",12909,1967
"Food","Cereals - Excluding Beer","United States of America",17088,1967
"Food","Vegetables","United States of America",19603,1967
"Food","Vegetables, Other","United States of America",13231,1968
"Food","Cereals - Excluding Beer","United States of America",16992,1968
"Food","Vegetables","United States of America",21463,1968
"Food","Vegetables, Other","United States of America",12878,1969
"Food","Cereals - Excluding Beer","United States of America",17141,1969
"Food","Vegetables","United States of America",19413,1969
"Food","Vegetables, Other","United States of America",13055,1970
