element,item,country_name,production,years,element-2,item,production
Feed,Starchy Roots,"China, mainland",8179,1961,Food,"Vegetables, Other",44728
Feed,Maize and products,"China, mainland",13700,1961,Food,Vegetables,52968
Feed,Cereals - Excluding Beer,"China, mainland",17963,1961,Food,Cereals - Excluding Beer,59256
Feed,Maize and products,"China, mainland",11795,1962,Food,"Vegetables, Other",41160
Feed,Starchy Roots,"China, mainland",13172,1962,Food,Vegetables,49318
Feed,Cereals - Excluding Beer,"China, mainland",17223,1962,Food,Cereals - Excluding Beer,66145
Feed,Starchy Roots,"China, mainland",14173,1963,Food,"Vegetables, Other",36386
Feed,Maize and products,"China, mainland",15570,1963,Food,Vegetables,43635
Feed,Cereals - Excluding Beer,"China, mainland",22079,1963,Food,Cereals - Excluding Beer,74029
Feed,Starchy Roots,"China, mainland",16678,1964,Food,"Vegetables, Other",32669
Feed,Maize and products,"China, mainland",17223,1964,Food,Vegetables,39097
Feed,Cereals - Excluding Beer,"China, mainland",24049,1964,Food,Cereals - Excluding Beer,81048
Feed,Maize and products,"China, mainland",17565,1965,Food,"Vegetables, Other",34685
Feed,Starchy Roots,"China, mainland",17680,1965,Food,Vegetables,41449
Feed,Cereals - Excluding Beer,"China, mainland",24981,1965,Food,Cereals - Excluding Beer,88579
Feed,Starchy Roots,"China, mainland",20210,1966,Food,"Vegetables, Other",34236
Feed,Maize and products,"China, mainland",22520,1966,Food,Vegetables,40808
Feed,Cereals - Excluding Beer,"China, mainland",30789,1966,Food,Cereals - Excluding Beer,93392
Feed,Starchy Roots,"China, mainland",21261,1967,Food,"Vegetables, Other",34854
Feed,Maize and products,"China, mainland",24350,1967,Food,Vegetables,41524
Feed,Cereals - Excluding Beer,"China, mainland",32531,1967,Food,Cereals - Excluding Beer,93557
Feed,Starchy Roots,"China, mainland",21793,1968,Food,"Vegetables, Other",36717
Feed,Maize and products,"China, mainland",22450,1968,Food,Vegetables,43742
Feed,Cereals - Excluding Beer,"China, mainland",30668,1968,Food,Cereals - Excluding Beer,93501
Feed,Maize and products,"China, mainland",21700,1969,Food,"Vegetables, Other",37728
Feed,Starchy Roots,"China, mainland",22715,1969,Food,Vegetables,45077
Feed,Cereals - Excluding Beer,"China, mainland",29967,1969,Food,Cereals - Excluding Beer,93301
Feed,Maize and products,"China, mainland",25780,1970,Food,"Vegetables, Other",30575
Feed,Starchy Roots,"China, mainland",28287,1970,Food,Vegetables,36375
Feed,Cereals - Excluding Beer,"China, mainland",35069,1970,Food,Cereals - Excluding Beer,104244
Feed,Starchy Roots,"China, mainland",26366,1971,Food,"Vegetables, Other",34157
Feed,Maize and products,"China, mainland",27900,1971,Food,Vegetables,40620
Feed,Cereals - Excluding Beer,"China, mainland",37363,1971,Food,Cereals - Excluding Beer,108121
Feed,Starchy Roots,"China, mainland",24968,1972,Food,"Vegetables, Other",31171
Feed,Maize and products,"China, mainland",25200,1972,Food,Vegetables,37069
Feed,Cereals - Excluding Beer,"China, mainland",34658,1972,Food,Cereals - Excluding Beer,110178
Feed,Maize and products,"China, mainland",30740,1973,Food,"Vegetables, Other",35066
Feed,Starchy Roots,"China, mainland",36483,1973,Food,Vegetables,41444
Feed,Cereals - Excluding Beer,"China, mainland",40943,1973,Food,Cereals - Excluding Beer,114836
Feed,Maize and products,"China, mainland",33990,1974,Food,"Vegetables, Other",35077
Feed,Starchy Roots,"China, mainland",34447,1974,Food,Vegetables,41519
Feed,Cereals - Excluding Beer,"China, mainland",44421,1974,Food,Cereals - Excluding Beer,118872
Feed,Starchy Roots,"China, mainland",33448,1975,Food,"Vegetables, Other",36252
Feed,Maize and products,"China, mainland",37400,1975,Food,Vegetables,42878
Feed,Cereals - Excluding Beer,"China, mainland",47906,1975,Food,Cereals - Excluding Beer,123842
Feed,Starchy Roots,"China, mainland",31650,1976,Food,"Vegetables, Other",35826
Feed,Maize and products,"China, mainland",38100,1976,Food,Vegetables,42458
Feed,Cereals - Excluding Beer,"China, mainland",48998,1976,Food,Cereals - Excluding Beer,126359
Feed,Starchy Roots,"China, mainland",38017,1977,Food,"Vegetables, Other",37557
Feed,Maize and products,"China, mainland",38700,1977,Food,Vegetables,44566
Feed,Cereals - Excluding Beer,"China, mainland",49999,1977,Food,Cereals - Excluding Beer,128840
Feed,Starchy Roots,"China, mainland",41487,1978,Food,"Vegetables, Other",41436
Feed,Maize and products,"China, mainland",44675,1978,Food,Vegetables,49398
Feed,Cereals - Excluding Beer,"China, mainland",56829,1978,Food,Cereals - Excluding Beer,142403
Feed,Starchy Roots,"China, mainland",41514,1979,Food,"Vegetables, Other",42003
Feed,Maize and products,"China, mainland",49000,1979,Food,Vegetables,49720
Feed,Cereals - Excluding Beer,"China, mainland",61712,1979,Food,Cereals - Excluding Beer,147401
Feed,Starchy Roots,"China, mainland",41990,1980,Food,"Vegetables, Other",40278
Feed,Maize and products,"China, mainland",51700,1980,Food,Vegetables,47949
Feed,Cereals - Excluding Beer,"China, mainland",64205,1980,Food,Cereals - Excluding Beer,151742
Feed,Starchy Roots,"China, mainland",36127,1981,Food,"Vegetables, Other",47454
Feed,Maize and products,"China, mainland",47650,1981,Food,Vegetables,55676
Feed,Cereals - Excluding Beer,"China, mainland",60815,1981,Food,Cereals - Excluding Beer,157179
Feed,Starchy Roots,"China, mainland",38201,1982,Food,"Vegetables, Other",51314
Feed,Maize and products,"China, mainland",48800,1982,Food,Vegetables,59900
Feed,Cereals - Excluding Beer,"China, mainland",62953,1982,Food,Cereals - Excluding Beer,172222
Feed,Starchy Roots,"China, mainland",47924,1983,Food,"Vegetables, Other",58986
Feed,Maize and products,"China, mainland",55000,1983,Food,Vegetables,67862
Feed,Cereals - Excluding Beer,"China, mainland",70002,1983,Food,Cereals - Excluding Beer,182221
Feed,Starchy Roots,"China, mainland",48886,1984,Food,"Vegetables, Other",68033
Feed,Maize and products,"China, mainland",57000,1984,Food,Vegetables,77006
Feed,Cereals - Excluding Beer,"China, mainland",72327,1984,Food,Cereals - Excluding Beer,187020
Feed,Maize and products,"China, mainland",43600,1985,Food,"Vegetables, Other",73729
Feed,Starchy Roots,"China, mainland",50249,1985,Food,Vegetables,83353
Feed,Cereals - Excluding Beer,"China, mainland",58325,1985,Food,Cereals - Excluding Beer,188438
Feed,Maize and products,"China, mainland",47000,1986,Food,"Vegetables, Other",88358
Feed,Starchy Roots,"China, mainland",48863,1986,Food,Vegetables,98119
Feed,Cereals - Excluding Beer,"China, mainland",60822,1986,Food,Cereals - Excluding Beer,189999
Feed,Maize and products,"China, mainland",46500,1987,Food,"Vegetables, Other",92925
Feed,Starchy Roots,"China, mainland",55952,1987,Food,Vegetables,102903
Feed,Cereals - Excluding Beer,"China, mainland",60779,1987,Food,Cereals - Excluding Beer,190010
Feed,Maize and products,"China, mainland",48000,1988,Food,"Vegetables, Other",100127
Feed,Starchy Roots,"China, mainland",53407,1988,Food,Vegetables,110505
Feed,Cereals - Excluding Beer,"China, mainland",62521,1988,Food,Cereals - Excluding Beer,189180
Feed,Maize and products,"China, mainland",47500,1989,Food,"Vegetables, Other",101761
Feed,Starchy Roots,"China, mainland",58346,1989,Food,Vegetables,112335
Feed,Cereals - Excluding Beer,"China, mainland",61283,1989,Food,Cereals - Excluding Beer,192403
Feed,Starchy Roots,"China, mainland",47395,1990,Food,"Vegetables, Other",104353
Feed,Maize and products,"China, mainland",53000,1990,Food,Vegetables,115743
Feed,Cereals - Excluding Beer,"China, mainland",67308,1990,Food,Cereals - Excluding Beer,201072
Feed,Starchy Roots,"China, mainland",46121,1991,Food,"Vegetables, Other",106348
Feed,Maize and products,"China, mainland",58000,1991,Food,Vegetables,118523
Feed,Cereals - Excluding Beer,"China, mainland",74939,1991,Food,Cereals - Excluding Beer,193224
Feed,Starchy Roots,"China, mainland",49974,1992,Food,"Vegetables, Other",120635
Feed,Maize and products,"China, mainland",62000,1992,Food,Vegetables,133090
Feed,Cereals - Excluding Beer,"China, mainland",80345,1992,Food,Cereals - Excluding Beer,197464
Feed,Starchy Roots,"China, mainland",59152,1993,Food,"Vegetables, Other",140753
Feed,Maize and products,"China, mainland",68800,1993,Food,Vegetables,155981
Feed,Cereals - Excluding Beer,"China, mainland",87190,1993,Food,Cereals - Excluding Beer,202770
Feed,Starchy Roots,"China, mainland",57858,1994,Food,"Vegetables, Other",153779
Feed,Maize and products,"China, mainland",76900,1994,Food,Vegetables,171463
Feed,Cereals - Excluding Beer,"China, mainland",97137,1994,Food,Cereals - Excluding Beer,204581
Feed,Starchy Roots,"China, mainland",63706,1995,Food,"Vegetables, Other",165620
Feed,Maize and products,"China, mainland",81000,1995,Food,Vegetables,184812
Feed,Cereals - Excluding Beer,"China, mainland",101126,1995,Food,Cereals - Excluding Beer,208137
Feed,Starchy Roots,"China, mainland",79039,1996,Food,"Vegetables, Other",183886
Feed,Maize and products,"China, mainland",82000,1996,Food,Vegetables,206540
Feed,Cereals - Excluding Beer,"China, mainland",103565,1996,Food,Cereals - Excluding Beer,210855
Feed,Starchy Roots,"China, mainland",66347,1997,Food,"Vegetables, Other",197828
Feed,Maize and products,"China, mainland",82200,1997,Food,Cereals - Excluding Beer,209235
Feed,Cereals - Excluding Beer,"China, mainland",103185,1997,Food,Vegetables,221456
Feed,Starchy Roots,"China, mainland",77581,1998,Food,"Vegetables, Other",204909
Feed,Maize and products,"China, mainland",83000,1998,Food,Cereals - Excluding Beer,210700
Feed,Cereals - Excluding Beer,"China, mainland",103561,1998,Food,Vegetables,229928
Feed,Starchy Roots,"China, mainland",80336,1999,Food,Cereals - Excluding Beer,209491
Feed,Maize and products,"China, mainland",88000,1999,Food,"Vegetables, Other",228507
Feed,Cereals - Excluding Beer,"China, mainland",107501,1999,Food,Vegetables,255625
Feed,Starchy Roots,"China, mainland",72897,2000,Food,Cereals - Excluding Beer,207521
Feed,Maize and products,"China, mainland",89000,2000,Food,"Vegetables, Other",278584
Feed,Cereals - Excluding Beer,"China, mainland",111272,2000,Food,Vegetables,311110
Feed,Starchy Roots,"China, mainland",72011,2001,Food,Cereals - Excluding Beer,206399
Feed,Maize and products,"China, mainland",87000,2001,Food,"Vegetables, Other",293005
Feed,Cereals - Excluding Beer,"China, mainland",112110,2001,Food,Vegetables,327370
Feed,Starchy Roots,"China, mainland",72958,2002,Food,Cereals - Excluding Beer,205081
Feed,Maize and products,"China, mainland",89000,2002,Food,"Vegetables, Other",313932
Feed,Cereals - Excluding Beer,"China, mainland",113639,2002,Food,Vegetables,352172
Feed,Starchy Roots,"China, mainland",68003,2003,Food,Cereals - Excluding Beer,202404
Feed,Maize and products,"China, mainland",90000,2003,Food,"Vegetables, Other",314464
Feed,Cereals - Excluding Beer,"China, mainland",111860,2003,Food,Vegetables,354850
Feed,Starchy Roots,"China, mainland",68501,2004,Food,Cereals - Excluding Beer,201977
Feed,Maize and products,"China, mainland",92000,2004,Food,"Vegetables, Other",318852
