"months","years","temp_changes"
"April",1961,0.278
"April",1962,0.027
"April",1963,0.002
"April",1964,-0.167
"April",1965,-0.574
"April",1966,-0.018
"April",1967,-0.174
"April",1968,-0.137
"April",1969,0.047
"April",1970,0.357
"April",1971,-0.187
"April",1972,-0.125
"April",1973,0.447
"April",1974,-0.167
"April",1975,0.247
"April",1976,-0.032
"April",1977,0.442
"April",1978,0.174
"April",1979,0.086
"April",1980,0.575
"April",1981,0.385
"April",1982,0.096
"April",1983,0.454
"April",1984,0.351
"April",1985,0.238
"April",1986,0.512
"April",1987,0.291
"April",1988,0.721
"April",1989,0.596
"April",1990,0.581
"April",1991,0.617
"April",1992,0.258
"April",1993,0.383
"April",1994,0.613
"April",1995,0.703
"April",1996,0.097
"April",1997,0.619
"April",1998,1.325
"April",1999,0.818
"April",2000,1.387
"April",2001,0.981
"April",2002,0.803
"April",2003,0.867
"April",2004,0.888
"April",2005,1.414
"April",2006,0.776
"April",2007,1.497
"April",2008,0.834
"April",2009,1.106
"April",2010,1.534
"April",2011,1.243
"April",2012,1.552
"April",2013,0.901
"April",2014,1.459
"April",2015,1.225
"April",2016,2.046
"April",2017,1.468
"April",2018,1.367
"April",2019,1.707
"August",1961,-0.001
"August",1962,-0.007
"August",1963,0.159
"August",1964,-0.362
"August",1965,-0.247
"August",1966,0.159
"August",1967,-0.028
"August",1968,-0.215
"August",1969,0.042
"August",1970,0.11
"August",1971,-0.067
"August",1972,-0.001
"August",1973,0.179
"August",1974,-0.239
"August",1975,0.062
"August",1976,-0.193
"August",1977,0.103
"August",1978,-0.257
"August",1979,0.29
"August",1980,0.165
"August",1981,0.245
"August",1982,0.103
"August",1983,0.496
"August",1984,0.2
"August",1985,0.262
"August",1986,0.244
"August",1987,0.216
"August",1988,0.369
"August",1989,0.369
"August",1990,0.416
"August",1991,0.405
"August",1992,-0.078
"August",1993,0.22
"August",1994,0.351
"August",1995,0.854
"August",1996,0.345
"August",1997,0.659
"August",1998,1.12
"August",1999,0.573
"August",2000,0.681
"August",2001,0.986
"August",2002,0.86
"August",2003,0.941
"August",2004,0.519
"August",2005,0.878
"August",2006,0.963
"August",2007,0.929
"August",2008,0.811
"August",2009,0.959
"August",2010,1.108
"August",2011,1.033
"August",2012,1.043
"August",2013,0.856
"August",2014,1.069
"August",2015,1.262
"August",2016,1.45
"August",2017,1.301
"August",2018,1.066
"August",2019,1.201
"December",1961,-0.217
"December",1962,0.113
"December",1963,-0.225
"December",1964,-0.643
"December",1965,0.285
"December",1966,-0.218
"December",1967,-0.208
"December",1968,-0.075
"December",1969,0.469
"December",1970,-0.389
"December",1971,0.128
"December",1972,-0.124
"December",1973,-0.093
"December",1974,-0.245
"December",1975,-0.329
"December",1976,-0.098
"December",1977,-0.025
"December",1978,0.159
"December",1979,0.849
"December",1980,0.252
"December",1981,0.735
"December",1982,0.298
"December",1983,-0.069
"December",1984,-0.906
"December",1985,0.163
"December",1986,0.156
"December",1987,1.073
"December",1988,0.489
"December",1989,0.485
"December",1990,0.506
"December",1991,0.183
"December",1992,0.388
"December",1993,0.462
"December",1994,0.515
"December",1995,0.406
"December",1996,0.582
"December",1997,0.659
"December",1998,1.042
"December",1999,1.121
"December",2000,0.222
"December",2001,0.748
"December",2002,0.349
"December",2003,1.442
"December",2004,0.524
"December",2005,1.086
"December",2006,1.463
"December",2007,0.982
"December",2008,0.809
